ID Name,Gear Type,Color,Language
FAD_019-001,buoy,multi,english
FAD_047-001,buoy,multi,english
FAD_049-001,buoy,multi,english
FAD_050-001,buoy,multi,english
FAD_053-001,buoy,multi,english
FAD_151-001,buoy,multi,english
FAD_154-001,buoy,multi,english
FFS_02-003,line,white,nan
FFS_02-004,line,multi,nan
FFS_03-001,float,black,chinese
FFS_04-001,float,black,chinese
FFS_05-001,float,orange,chinese
FFS_06-001,float,black,chinese
FFS_07-001,line,multi,nan
FFS_07-003,line,multi,nan
FFS_07-004,line,black,nan
FFS_07-006,line,pink,nan
FFS_07-007,line,multi,nan
FFS_07-009,line,grey,nan
FFS_07-010,line,multi,nan
FFS_07-011,line,black,nan
FFS_07-012,line,multi,nan
FFS_07-013,line,multi,nan
FFS_07-014,line,yellow,nan
FFS_07-015,line,multi,nan
FFS_07-016,line,black,nan
FFS_07-018,line,red,nan
FFS_07-019,line,green,nan
FFS_07-020,line,black,nan
KUR_01-005,line,white,nan
KUR_01-009,hard plastic,black,nan
KUR_01-010,line,green,nan
KUR_01-011,hard plastic,blue,
KUR_01-013,line,yellow,nan
KUR_01-018,line,green,nan
KUR_01-020,line,white,nan
KUR_01-021,hard plastic,red,nan
KUR_01-025,line,white,nan
KUR_01-026,line,green,nan
KUR_01-027,line,green,nan
KUR_01-028,line,yellow,nan
KUR_01-029,line,green,nan
KUR_01-030,hard plastic,black,nan
KUR_01-031,hard plastic,white,nan
KUR_01-032,hard plastic,black,
KUR_01-033,hard plastic,black,nan
KUR_02-001,metal,multi,nan
KUR_02-002,hard plastic,black,nan
KUR_02-003,hard plastic,black,nan
KUR_02-004,hard plastic,green,nan
KUR_02-006,hard plastic,white,nan
KUR_02-007,hard plastic,black,nan
KUR_02-008,hard plastic,white,nan
KUR_02-009,line,blue,nan
KUR_02-011,line,green,nan
KUR_02-012,line,blue,nan
KUR_02-013,line,black,nan
KUR_02-014,line,blue,nan
KUR_02-015,line,grey,nan
KUR_02-016,line,grey,nan
KUR_02-017,line,green,nan
KUR_02-018,line,green,nan
KUR_02-019,line,white,nan
KUR_02-020,line,yellow,nan
KUR_02-021,line,white,nan
KUR_02-022,line,yellow,nan
KUR_02-023,line,blue,nan
KUR_02-027,line,orange,nan
KUR_02-028,line,yellow,nan
KUR_02-029,line,multi,nan
KUR_02-030,line,green,nan
KUR_02-031,line,grey,nan
KUR_02-032,line,multi,nan
KUR_02-033,line,multi,nan
KUR_02-034,line,green,nan
KUR_02-035,line,yellow,nan
KUR_02-036,line,white,nan
KUR_02-037,line,white,nan
KUR_03-005,line,orange,nan
KUR_03-008,hard plastic,black,nan
KUR_03-009,line,green,nan
KUR_03-010,line,black,nan
KUR_03-013,line,multi,nan
KUR_03-014,line,multi,nan
KUR_03-016,line,multi,nan
KUR_03-017,line,multi,nan
KUR_03-020,line,black,nan
KUR_03-022,line,multi,nan
KUR_03-023,line,blue,nan
KUR_03-025,line,green,nan
KUR_03-026,line,grey,nan
KUR_03-027,line,multi,nan
KUR_03-028,line,black,nan
KUR_03-029,line,multi,nan
KUR_03-030,line,multi,nan
KUR_03-032,hard plastic,black,nan
KUR_03-033,line,grey,nan
KUR_03-035,line,green,nan
KUR_03-036,line,orange,nan
KUR_03-037,line,multi,nan
KUR_03-038,line,multi,nan
KUR_03-039,line,green,nan
KUR_03-040,line,multi,nan
KUR_03-041,line,multi,nan
KUR_03-042,line,multi,nan
KUR_03-043,line,black,nan
KUR_03-046,line,black,nan
KUR_03-047,line,green,nan
KUR_03-048,line,blue,nan
KUR_03-049,metal,grey,nan
KUR_06-008,float,blue,chinese
KUR_06-011,float,blue,chinese
KUR_06-049,float,blue,chinese
KUR_06-005,line,white,nan
KUR_06-010,metal,multi,nan
KUR_06-013,line,white,nan
KUR_06-017,line,multi,nan
KUR_06-018,line,multi,nan
KUR_06-019,line,multi,nan
KUR_06-033,line,multi,chinese
KUR_06-036,line,multi,nan
KUR_06-037,line,black,nan
KUR_06-038,line,multi,nan
KUR_06-039,line,white,nan
KUR_06-040,line,grey,nan
KUR_06-046,line,red,nan
KUR_06-050,line,multi,nan
KUR_06-052,line,multi,nan
KUR_06-057,line,multi,english
KUR_06-058,hard plastic,black,nan
KUR_06-059,line,grey,nan
KUR_06-060,line,pink,nan
KUR_06-062,line,white,nan
KUR_06-068,line,multi,nan
KUR_06-069,line,multi,nan
KUR_06-070,line,multi,nan
KUR_06-071,line,orange,nan
KUR_06-073,line,multi,nan
KUR_06-075,line,multi,nan
KUR_06-077,line,multi,nan
KUR_06-078,line,yellow,nan
KUR_06-079,line,multi,nan
KUR_06-080,line,yellow,nan
KUR_06-083,hard plastic,multi,nan
KUR_07_Buoy-001,buoy,multi,english
LAN_01-005,line,multi,nan
LAN_01-010,line,multi,nan
LAN_01-013,line,multi,nan
LAN_01-015,line,orange,nan
LAN_01-016,line,multi,nan
LAN_01-017,line,multi,nan
LAN_01-019,hard plastic,black,nan
LAN_01-022,line,multi,nan
LAN_01-027,line,green,nan
LAY_01-002,line,multi,nan
LAY_01-004,line,multi,nan
LAY_01-005,line,white,nan
LAY_01-006,line,grey,nan
LAY_01-008,hard plastic,black,nan
LAY_01-009,line,yellow,nan
LAY_01-010,line,black,nan
LAY_01-011,line,multi,nan
LAY_02-004,line,yellow,nan
LAY_02-005,line,blue,nan
LAY_02-006,line,blue,nan
LAY_02-008,line,white,nan
LAY_02-010,line,black,nan
LAY_02-012,line,black,nan
LAY_02-013,line,green,nan
LAY_02-014,line,blue,nan
LAY_02-016,line,yellow,nan
LAY_02-018,line,white,nan
LAY_02-022,hard plastic,green,nan
LAY_02-024,line,blue,nan
LAY_02-026,line,white,nan
LAY_02-027,line,grey,nan
LAY_02-029,line,multi,nan
LAY_02-031,line,white,nan
LAY_02-032,line,grey,nan
LAY_02-036,line,blue,nan
LAY_02-038,line,pink,nan
LAY_02-039,line,multi,nan
LAY_02-040,line,multi,nan
LAY_02-042,line,white,nan
LAY_02-044,metal,multi,nan
LAY_02-045,line,blue,nan
LAY_02-046,line,orange,nan
LAY_02-047,line,blue,nan
LAY_02-049,line,black,nan
LAY_02-052,line,multi,nan
LAY_02-053,line,orange,nan
LAY_02-054,hard plastic,black,nan
LAY_02-056,line,multi,nan
LAY_02-057,hard plastic,black,nan
LAY_02-058,hard plastic,black,nan
LAY_02-059,line,black,nan
LAY_02-062,line,multi,nan
LAY_02-063,line,yellow,nan
LAY_02-064,line,clear,nan
LAY_02-067,line,multi,nan
LAY_02-068,line,grey,nan
LAY_02-070,line,pink,nan
LAY_02-072,line,grey,nan
LAY_02-073,line,white,nan
LAY_02-074,line,white,nan
LAY_02-077,line,green,nan
LAY_02-078,line,yellow,nan
LAY_02-079,line,white,nan
LAY_02-080,hard plastic,black,nan
LAY_03-003,line,multi,nan
LAY_03-004,line,multi,nan
LAY_04-001,line,black,nan
LAY_04-005,line,yellow,nan
LAY_04-006,line,multi,nan
LAY_04-007,line,white,nan
LAY_04-008,line,blue,nan
LAY_04-009,line,yellow,nan
LAY_04-010,line,white,nan
LAY_04-011,line,grey,nan
LAY_04-012,line,multi,nan
LAY_04-013,line,grey,nan
LAY_04-014,line,multi,nan
LAY_04-015,line,multi,nan
LAY_04-018,line,multi,nan
LAY_04-019,line,green,nan
LAY_04-020,line,grey,nan
LAY_04-021,line,white,nan
LAY_04-022,line,white,nan
LAY_04-024,line,green,nan
LAY_04-026,line,yellow,nan
LAY_04-027,line,grey,nan
LAY_04-028,line,multi,nan
LAY_04-029,line,multi,nan
LAY_04-030,line,blue,nan
LAY_04-032,line,blue,nan
LAY_04-033,line,multi,nan
LAY_04-034,line,white,nan
LAY_04-035,line,multi,nan
LAY_04-036,line,black,nan
LAY_04-037,line,yellow,nan
LAY_04-038,hard plastic,grey,nan
LAY_04-039,line,multi,nan
LAY_04-042,line,grey,nan
LAY_04-043,line,green,nan
LAY_04-044,line,blue,nan
LAY_04-046,line,green,nan
LAY_04-047,line,blue,nan
LAY_04-048,line,blue,nan
LAY_04-050,line,grey,nan
LAY_04-051,line,yellow,nan
LAY_04-052,line,white,nan
LAY_04-053,line,multi,nan
LAY_04-054,line,grey,nan
LAY_04-056,line,multi,nan
LAY_04-057,line,white,nan
